age,age_group,job,salary,marital,education,targeted,default,balance,housing,loan,response,,,Marital,Response rate (%)
58,5,management,100000,married,tertiary,yes,no,2143,yes,no,0,,,married,10%
44,4,technician,60000,single,secondary,yes,no,29,yes,no,0,,,single,15%
33,3,entrepreneur,120000,married,secondary,yes,no,2,yes,yes,0,,,divorced,12%
47,4,blue-collar,20000,married,unknown,no,no,1506,yes,no,0,,,,
33,3,unknown,0,single,unknown,no,no,1,no,no,0,,,Job,Response rate (%)
35,3,management,100000,married,tertiary,yes,no,231,yes,no,0,,,management,14%
28,2,management,100000,single,tertiary,no,no,447,yes,yes,0,,,technician,11%
42,4,entrepreneur,120000,divorced,tertiary,no,yes,2,yes,no,0,,,entrepreneur,8%
58,5,retired,55000,married,primary,yes,no,121,yes,no,0,,,blue-collar,7%
43,4,technician,60000,single,secondary,yes,no,593,yes,no,0,,,unknown,12%
41,4,admin.,50000,divorced,secondary,yes,no,270,yes,no,0,,,retired,23%
29,2,admin.,50000,single,secondary,yes,no,390,yes,no,0,,,admin.,12%
53,5,technician,60000,married,secondary,yes,no,6,yes,no,0,,,services,9%
58,5,technician,60000,married,unknown,no,no,71,yes,no,0,,,self-employed,12%
57,5,services,70000,married,secondary,yes,no,162,yes,no,0,,,unemployed,16%
51,5,retired,55000,married,primary,yes,no,229,yes,no,0,,,housemaid,9%
45,4,admin.,50000,single,unknown,no,no,13,yes,no,0,,,student,29%
57,5,blue-collar,20000,married,primary,yes,no,52,yes,no,0,,,,
60,6,retired,55000,married,primary,yes,no,60,yes,no,0,,,Education,Response rate (%)
33,3,services,70000,married,secondary,yes,no,0,yes,no,0,,,tertiary,
28,2,blue-collar,20000,married,secondary,yes,no,723,yes,yes,0,,,secondary,
56,5,management,100000,married,tertiary,yes,no,779,yes,no,0,,,unknown,
32,3,blue-collar,20000,single,primary,yes,no,23,yes,yes,0,,,primary,
25,2,services,70000,married,secondary,yes,no,50,yes,no,0,,,,
40,4,retired,55000,married,primary,yes,no,0,yes,yes,0,,,,
44,4,admin.,50000,married,secondary,yes,no,-372,yes,no,0,,,,
39,3,management,100000,single,tertiary,no,no,255,yes,no,0,,,,
52,5,entrepreneur,120000,married,secondary,yes,no,113,yes,yes,0,,,,
46,4,management,100000,single,secondary,yes,no,-246,yes,no,0,,,,
36,3,technician,60000,single,secondary,yes,no,265,yes,yes,0,,,,
57,5,technician,60000,married,secondary,yes,no,839,no,yes,0,,,,
49,4,management,100000,married,tertiary,yes,no,378,yes,no,0,,,,
60,6,admin.,50000,married,secondary,yes,no,39,yes,yes,0,,,,
59,5,blue-collar,20000,married,secondary,yes,no,0,yes,no,0,,,,
51,5,management,100000,married,tertiary,yes,no,10635,yes,no,0,,,,
57,5,technician,60000,divorced,secondary,yes,no,63,yes,no,0,,,,
25,2,blue-collar,20000,married,secondary,yes,no,-7,yes,no,0,,,,
53,5,technician,60000,married,secondary,yes,no,-3,no,no,0,,,,
36,3,admin.,50000,divorced,secondary,yes,no,506,yes,no,0,,,,
37,3,admin.,50000,single,secondary,yes,no,0,yes,no,0,,,,
44,4,services,70000,divorced,secondary,yes,no,2586,yes,no,0,,,,
50,5,management,100000,married,secondary,yes,no,49,yes,no,0,,,,
60,6,blue-collar,20000,married,unknown,no,no,104,yes,no,0,,,,
54,5,retired,55000,married,secondary,yes,no,529,yes,no,0,,,,
58,5,retired,55000,married,unknown,no,no,96,yes,no,0,,,,
36,3,admin.,50000,single,primary,yes,no,-171,yes,no,0,,,,
58,5,self-employed,60000,married,tertiary,yes,no,-364,yes,no,0,,,,
44,4,technician,60000,married,secondary,yes,no,0,yes,no,0,,,,
55,5,technician,60000,divorced,secondary,yes,no,0,no,no,0,,,,
29,2,management,100000,single,tertiary,no,no,0,yes,no,0,,,,
54,5,blue-collar,20000,married,secondary,yes,no,1291,yes,no,0,,,,
48,4,management,100000,divorced,tertiary,no,no,-244,yes,no,0,,,,
32,3,management,100000,married,tertiary,yes,no,0,yes,no,0,,,,
42,4,admin.,50000,single,secondary,yes,no,-76,yes,no,0,,,,
24,2,technician,60000,single,secondary,yes,no,-103,yes,yes,0,,,,
38,3,entrepreneur,120000,single,tertiary,no,no,243,no,yes,0,,,,
38,3,management,100000,single,tertiary,no,no,424,yes,no,0,,,,
47,4,blue-collar,20000,married,unknown,no,no,306,yes,no,0,,,,
40,4,blue-collar,20000,single,unknown,no,no,24,yes,no,0,,,,
46,4,services,70000,married,primary,yes,no,179,yes,no,0,,,,
32,3,admin.,50000,married,tertiary,yes,no,0,yes,no,0,,,,
53,5,technician,60000,divorced,secondary,yes,no,989,yes,no,0,,,,
57,5,blue-collar,20000,married,primary,yes,no,249,yes,no,0,,,,
33,3,services,70000,married,secondary,yes,no,790,yes,no,0,,,,
49,4,blue-collar,20000,married,unknown,no,no,154,yes,no,0,,,,
51,5,management,100000,married,tertiary,yes,no,6530,yes,no,0,,,,
60,6,retired,55000,married,tertiary,yes,no,100,no,no,0,,,,
59,5,management,100000,divorced,tertiary,no,no,59,yes,no,0,,,,
55,5,technician,60000,married,secondary,yes,no,1205,yes,no,0,,,,
35,3,blue-collar,20000,single,secondary,yes,no,12223,yes,yes,0,,,,
57,5,blue-collar,20000,married,secondary,yes,no,5935,yes,yes,0,,,,
31,3,services,70000,married,secondary,yes,no,25,yes,yes,0,,,,
54,5,management,100000,married,secondary,yes,no,282,yes,yes,0,,,,
55,5,blue-collar,20000,married,primary,yes,no,23,yes,no,0,,,,
43,4,technician,60000,married,secondary,yes,no,1937,yes,no,0,,,,
53,5,technician,60000,married,secondary,yes,no,384,yes,no,0,,,,
44,4,blue-collar,20000,married,secondary,yes,no,582,no,yes,0,,,,
55,5,services,70000,divorced,secondary,yes,no,91,no,no,0,,,,
49,4,services,70000,divorced,secondary,yes,no,0,yes,yes,0,,,,
55,5,services,70000,divorced,secondary,yes,yes,1,yes,no,0,,,,
45,4,admin.,50000,single,secondary,yes,no,206,yes,no,0,,,,
47,4,services,70000,divorced,secondary,yes,no,164,no,no,0,,,,
42,4,technician,60000,single,secondary,yes,no,690,yes,no,0,,,,
59,5,admin.,50000,married,secondary,yes,no,2343,yes,no,1,,,,
46,4,self-employed,60000,married,tertiary,yes,no,137,yes,yes,0,,,,
51,5,blue-collar,20000,married,primary,yes,no,173,yes,no,0,,,,
56,5,admin.,50000,married,secondary,yes,no,45,no,no,1,,,,
41,4,technician,60000,married,secondary,yes,no,1270,yes,no,1,,,,
46,4,management,100000,divorced,secondary,yes,no,16,yes,yes,0,,,,
